1991 census - small area statistics,,,,
ONS Crown Copyright Reserved [from Nomis on 6 May 2026],,,,
,,,,
date,1991,,,
,,,,
1991 frozen ward,S01:1 (Present residents : Total persons ),S01:8 (Absent residents (part of household present) : Total persons ),S01:15 (Absent residents (wholly absent household - enumerated) : Total persons ),S01:22 (Absent residents (wholly absent household - imputed) : Total persons )
10UGFJ Finchampstead South,"5,824",200,63,43
10UGFK Hurst,"1,581",63,44,4
10UGFL Little Hungerford,"9,889",242,122,170
10UGFM Loddon,"8,186",144,102,76
10UGFN Norreys,"7,042",198,92,58
10UGFP Redhatch,"13,800",305,238,230
10UGFQ Remenham and Wargrave,"4,151",162,97,75
10UGFR Shinfield,"6,871",152,119,65
10UGFS Sonning,"1,250",58,17,29
10UGFT South Lake,"5,382",113,74,87
10UGFU Swallowfield,"1,576",68,29,4
10UGFW Twyford and Ruscombe,"6,102",176,105,25
10UGFX Wescott,"4,458",182,67,66
10UGFY Whitegates,"3,447",86,32,42
10UGFZ Winnersh,"6,974",218,74,59
10UGGA Wokingham Without,"6,180",221,92,75
11UBFA Aston Clinton,"3,773",119,56,32
11UBFB Aylesbury Central,"2,077",44,51,58
11UBFC Bedgrove,"6,451",170,93,21
11UBFD Bierton,"2,436",79,35,29
11UBFE Brill,"1,609",51,30,4
11UBFF Buckingham North,"4,018",113,42,18
11UBFG Buckingham South,"6,297",150,93,43
11UBFH Cheddington,"2,610",64,44,36
11UBFJ Edlesborough,"3,027",84,26,39
11UBFK Elmhurst,"5,149",100,69,94
11UBFL Gatehouse,"3,083",44,49,68
11UBFM Grange,"5,086",133,85,31
11UBFN Great Brickhill,"1,931",63,32,8
11UBFP Great Horwood,"2,229",72,31,7
11UBFQ Grendon Underwood,"2,485",45,28,15
11UBFR Haddenham,"4,659",136,69,42
11UBFS Hogshaw,"1,785",74,28,14
11UBFT Long Crendon,"2,334",104,54,13
11UBFU Luffield Abbey,"1,796",71,16,9
11UBFW Mandeville,"7,444",94,55,60
11UBFX Marsh Gibbon,"2,279",64,27,14
11UBFY Meadowcroft,"7,447",80,50,112
11UBFZ Newton Longville,"1,887",46,27,19
11UBGA Oakfield,"4,894",94,66,23
11UBGB Oakley,"2,436",53,40,9
11UBGC Pitstone,"2,708",50,54,5
11UBGD Quainton,"2,279",79,41,14
11UBGE Southcourt,"7,825",100,96,101
11UBGF Steeple Claydon,"2,884",70,26,20
11UBGG Stewkley,"2,559",112,41,32
11UBGH Stone,"3,649",143,45,28
11UBGJ Tingewick,"1,812",73,33,14
11UBGK Waddesdon,"2,050",51,34,31
11UBGL Wendover,"8,159",239,139,20
11UBGM Weston Turville,"7,302",174,132,51
11UBGN Wing,"2,690",62,28,25
11UBGP Wingrave,"1,945",66,29,19
11UBGQ Winslow,"4,195",100,78,36
11UCFA Amersham Common,"3,152",78,34,28
11UCFB Amersham-on-the-Hill,"4,664",122,86,51
11UCFC Amersham Town,"3,795",156,62,62
11UCFD Asheridge Vale,"1,787",35,25,15
11UCFE Ashley Green and Latimer,"1,852",62,22,13
11UCFF Austenwood,"2,051",136,39,16
11UCFG Ballinger and South Heath,"1,140",62,26,5
11UCFH Chalfont Common,"3,787",160,83,13
11UCFJ Chalfont St.Giles,"5,789",215,125,25
11UCFK Chalfont St.Peter Central,"3,717",112,55,29
11UCFL Chartridge,"1,553",53,19,20
11UCFM Chenies,238,15,1,4
11UCFN Chesham Bois and Weedon Hill,"3,890",276,70,27
11UCFP Cholesbury and The Lee,"1,512",95,24,8
11UCFQ Coleshill and Penn Street,"1,309",52,27,5
11UCFR Gold Hill,"2,362",56,32,16
11UCFS Great Missenden,"2,232",128,60,15
11UCFT Hilltop,"1,642",31,34,18
11UCFU Holmer Green,"4,012",129,56,17
11UCFW Little Chalfont,"3,745",152,76,18
11UCFX Little Missenden,"2,353",160,43,12
11UCFY Lowndes,"1,888",62,32,5
11UCFZ Newtown,"3,657",108,90,25
11UCGA Penn,"2,934",181,69,27
11UCGB Pond Park,"3,147",50,26,40
11UCGC Prestwood and Heath End,"6,214",223,78,39
11UCGD St.Mary's,"1,126",23,25,11
11UCGE Seer Green and Jordans,"2,735",148,61,25
11UCGF Townsend,"3,105",101,60,54
11UCGG Waterside,"3,075",45,53,13
11UDFA Bradwell,"16,811",254,234,314
11UDFB Church Green,"1,367",33,18,14
11UDFC Danesborough,"1,989",46,32,8
11UDFD Denbigh,"7,859",105,76,98
11UDFE Eaton,"6,221",49,28,127
11UDFF Fenny Stratford,"10,620",112,135,272
