Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel, InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,total_co2_kgCO2e_per_year,Solar_commission_kgCO2e,Wind_commission_kgCO2e,Hydro_commission_kgCO2e,Nuclear_commission_kgCO2e,Biomass_commission_kgCO2e,Solar_co2_saving_kgCO2e_per_year,Wind_co2_saving_kgCO2e_per_year,Hydro_co2_saving_kgCO2e_per_year,Nuclear_co2_saving_kgCO2e_per_year,Biomass_co2_saving_kgCO2e_per_year,NOX_kg,SOX_kg,CH4_kg,Solar_NOX_saving_kg,Solar_SOX_saving_kg,Solar_CH4_saving_kg,Wind_NOX_saving_kg,Wind_SOX_saving_kg,Wind_CH4_saving_kg,Hydro_NOX_saving_kg,Hydro_SOX_saving_kg,Hydro_CH4_saving_kg,Nuclear_NOX_saving_kg,Nuclear_SOX_saving_kg,Nuclear_CH4_saving_kg,Biomass_NOX_saving_kg,Biomass_SOX_saving_kg,Biomass_CH4_saving_kg,water_consumption_litres_per_year,Solar_water_saving_litres_per_year,Wind_water_saving_litres_per_year,Hydro_water_saving_litres_per_year,Nuclear_water_saving_litres_per_year,Biomass_water_saving_litres_per_year,site_ha,site_ha_source,Solar_net_land_ha,Wind_net_land_ha,Hydro_net_land_ha,Nuclear_net_land_ha,Biomass_net_land_ha
SSE Group,Stornoway,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,23.0,HV,Scotland,Scotland,,,143150.0,932158.0,1952,11770787.63954819,2165910.0,1047696.0,2115540.0,2304931.2,7648180.8,9604877.63954819,10723091.63954819,9655247.63954819,9465856.43954819,4122606.83954819,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-36266.4,-24371020.8,-20055319.2,1.8,OSM,-44.2,-4.4,1.6,-6.0,-21.2
SSE Group,Lerwick,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,67.0,LV,Scotland,Scotland,ZE10PS,,446456.0,1142790.0,1953,34288816.16737951,6309390.0,3051984.0,6162660.0,6714364.8,22279483.2,27979426.167379513,31236832.167379513,28126156.167379513,27574451.367379513,12009332.967379514,1500000.0,257000.0,,1500000.0,257000.0,,1500000.0,257000.0,,1500000.0,257000.0,,1500000.0,257000.0,,1447177.2,246435.44,,0.0,0.0,0.0,-105645.6,-70993843.19999999,-58422016.8,3.8,OSM,-130.2,-14.3,3.1,-19.0,-63.2
SSE Group,Tiree,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,2.5,HV,Scotland,Scotland,PA776UP,,100030.0,744120.0,1953,1279433.4390813252,235425.0,113880.0,229950.0,250536.0,831324.0,1044008.4390813252,1165553.4390813252,1049483.4390813252,1028897.4390813252,448109.4390813252,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-3942.0,-2649024.0,-2179926.0,0.3,OSM,-4.7,-0.4,0.3,-0.6,-2.2
SSE Group,Loch Carnan,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,11.0,HV,Scotland,Scotland,,,83233.0,842636.0,1972,5629507.131957832,1035870.0,501072.0,1011780.0,1102358.4,3657825.6,4593637.131957832,5128435.131957832,4617727.131957832,4527148.731957832,1971681.5319578317,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-17344.8,-11655705.6,-9591674.4,1.1,OSM,-20.9,-1.9,1.0,-2.6,-9.9
SSE Group,Barra,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,2.5,HV,Scotland,Scotland,HS95YA,,71706.0,803309.0,1986,1279433.4390813252,235425.0,113880.0,229950.0,250536.0,831324.0,1044008.4390813252,1165553.4390813252,1049483.4390813252,1028897.4390813252,448109.4390813252,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-3942.0,-2649024.0,-2179926.0,0.2,OSM,-4.8,-0.5,0.2,-0.7,-2.3
SSE Group,Arnish,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,10.0,HV,Scotland,Scotland,,,142229.0,930499.0,2000,5117733.756325301,941700.0,455520.0,919800.0,1002144.0,3325296.0,4176033.756325301,4662213.756325301,4197933.756325301,4115589.756325301,1792437.7563253008,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-15768.0,-10596096.0,-8719704.0,0.5,OSM,-19.5,-2.2,0.4,-2.9,-9.5
UK Transition Limited,West Burton CCGT,Fossil Fuel,CCGT,No,Natural Gas,,1332.0,HV,England,East Midlands,DN229BL,,479368.0,384538.0,2013,1594607060.2517126,125434440.0,60675264.0,122517360.0,133485580.8,442929427.2,1469172620.2517126,1533931796.2517126,1472089700.2517126,1461121479.4517126,1151677633.0517125,751000.0,,105000.0,751000.0,,105000.0,751000.0,,105000.0,751000.0,,105000.0,751000.0,,105000.0,-2632812.8,,84697.1232,1387363248.0,1387363248.0,1387363248.0,1380595622.4,-3160481155.2,-2355133708.7999997,23.8,OSM,-2640.2,-335.8,10.5,-429.1,-1308.2
Uniper UK,Ratcliffe (Steam),Fossil Fuel,Conventional steam,No,Coal,,2021.0,HV,England,East Midlands,NG110EE,,449969.0,327738.0,1967,4481311494.797017,190317570.0,92060592.0,185891580.0,202533302.4,672042321.6,4290993924.797017,4389250902.797017,4295419914.797017,4278778192.397017,3809269173.197017,1070000.0,954000.0,,1070000.0,954000.0,,1070000.0,954000.0,,1070000.0,954000.0,,1070000.0,954000.0,,-4683787.0,-196757.40000000017,,7905703338.0,7905703338.0,7905703338.0,7894195764.0,172613610.0,1542014916.0,3.3,OSM,-4038.7,-542.4,-16.9,-683.8,-2017.7
Uniper UK,Killingholme,Fossil Fuel,Single cycle,No,Natural Gas,,600.0,HV,England,Yorkshire and the Humber,DN403LU,,516717.0,419816.0,1992,718291468.5818526,56502000.0,27331200.0,55188000.0,60128640.0,199517760.0,661789468.5818526,690960268.5818526,663103468.5818526,658162828.5818526,518773708.58185256,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-3048480.0,-2048578560.0,-1685809440.0,20.4,OSM,-1179.6,-141.6,14.4,-183.6,-579.6
Uniper UK,Connahs Quay,Fossil Fuel,CCGT,No,Sour Gas,,1380.0,HV,Wales,Wales,CH54BP,,328878.0,368331.0,1996,1709038321.798201,129954600.0,62861760.0,126932400.0,138295872.0,458890848.0,1579083721.798201,1646176561.798201,1582105921.798201,1570742449.798201,1250147473.798201,284000.0,,,284000.0,,,284000.0,,,284000.0,,,284000.0,,,-3342640.0,,,1486922400.0,1486922400.0,1486922400.0,1479669120.0,-3387281760.0,-2524141440.0,17.3,OSM,-2742.7,-355.3,3.5,-451.9,-1362.7
Uniper UK,Cottam Development Centre,Fossil Fuel,CCGT,No,Natural Gas,,445.0,HV,England,East Midlands,DN220TF,,470307.0,378332.0,1998,532732839.1982072,41905650.0,20270640.0,40931100.0,44595408.0,147975672.0,490827189.1982072,512462199.1982072,491801739.1982072,488137431.1982072,384757167.1982072,,,,,,,,,,,,,,,,,,,463495980.0,463495980.0,463495980.0,461235024.0,-1055866452.0,-786812688.0,24.7,OSM,-865.3,-95.5,20.2,-126.6,-420.3
Uniper UK,Enfield,Fossil Fuel,CCGT,No,Natural Gas,,408.0,HV,England,London,EN37PL,,532446.0,190691.0,1999,488438198.63565975,38421360.0,18585216.0,37527840.0,40887475.2,135672076.8,450016838.63565975,469852982.63565975,450910358.63565975,447550723.43565977,352766121.83565974,,,,,,,,,,,,,,,,,,,424958112.0,424958112.0,424958112.0,422885145.6,-968075308.8,-721392307.2,40.8,estimated,-775.2,-69.4,36.7,-97.9,-367.2
Uniper UK,Grain,Fossil Fuel,CCGT,Yes,Natural Gas,,1365.0,HV,England,South East,ME30AR,,588672.0,172826.0,2011,1634113091.0237143,128542050.0,62178480.0,125552700.0,136792656.0,453902904.0,1505571041.0237143,1571934611.0237143,1508560391.0237143,1497320435.0237143,1180210187.0237143,349000.0,,165000.0,349000.0,,165000.0,349000.0,,165000.0,349000.0,,165000.0,349000.0,,165000.0,-3118645.9999999995,,144194.124,1421734859.9999998,1421734859.9999998,1421734859.9999998,1414799567.9999998,-3238781363.999999,-2413481616.0,11.7,OSM,-2718.3,-356.9,-2.0,-452.4,-1353.3
Uniper UK,Ratcliffe (OCGT),Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,34.0,HV,England,East Midlands,NG110EE,,449969.0,327738.0,1967,17400294.771506023,3201780.0,1548768.0,3127320.0,3407289.6,11306006.4,14198514.771506025,15851526.771506025,14272974.771506025,13993005.171506025,6094288.371506022,1070000.0,954000.0,,1070000.0,954000.0,,1070000.0,954000.0,,1070000.0,954000.0,,1070000.0,954000.0,,1043194.4,948638.88,,0.0,0.0,0.0,-53611.2,-36026726.4,-29646993.6,3.3,OSM,-64.7,-5.9,3.0,-8.3,-30.7
Uniper UK,Taylors Lane,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,144.0,HV,England,London,NW108JP,,524680.0,195111.0,1979,73695366.09108433,13560480.0,6559488.0,13245120.0,14430873.6,47884262.4,60134886.09108433,67135878.09108433,60450246.09108433,59264492.49108433,25811103.691084333,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-227059.2,-152583782.39999998,-125563737.6,14.4,estimated,-273.6,-24.5,13.0,-34.6,-129.6
Uniper UK,Grain (OCGT),Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,50.0,HV,England,South East,ME30AR,,0.0,0.0,2011,25588668.781626508,4708500.0,2277600.0,4599000.0,5010720.0,16626480.0,20880168.781626508,23311068.781626508,20989668.781626508,20577948.781626508,8962188.781626508,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-78840.0,-52980480.0,-43598520.0,5.0,estimated,-95.0,-8.5,4.5,-12.0,-45.0
Veolia,SELCHP,Bioenergy,Bioenergy,Yes,MSW,,35.0,LV,England,London,,,535605.0,178129.0,1994,7474073.5311676925,3295950.0,1594320.0,3219300.0,3507504.0,11638536.0,4178123.531167693,5879753.5311676925,4254773.5311676925,3966569.531167693,-4164462.468832307,,,,,,,,,,,,,,,,,,,135639840.0,135639840.0,135639840.0,135394560.0,-29188320.0,0.0,2.0,OSM,-68.0,-7.5,1.6,-9.9,-33.0
Viridor Waste Management,Runcorn Energy from Waste,Bioenergy,Bioenergy,No,MSW,,91.0,LV,England,North West,,,349985.0,381240.0,2014,19432591.181036,8569470.0,4145232.0,8370180.0,9119510.4,30260193.6,10863121.181036,15287359.181036,11062411.181036,10313080.781036,-10827602.418964002,125000.0,,,125000.0,,,125000.0,,,125000.0,,,125000.0,,,-193864.0,,,352663584.0,352663584.0,352663584.0,352025856.0,-75889632.0,0.0,18.2,OSM,-163.8,-6.4,17.3,-12.7,-72.8
Vitol,Rye House,Fossil Fuel,CCGT,No,Natural Gas,,715.0,HV,England,East of England,EN110RF,,538365.0,209811.0,1993,855964000.060041,67331550.0,32569680.0,65765700.0,71653296.0,237758664.0,788632450.060041,823394320.060041,790198300.060041,784310704.060041,618205336.060041,,,,,,,,,,,,,,,,,,,744718259.9999999,744718259.9999999,744718259.9999999,741085487.9999999,-1696504523.9999995,-1264204656.0,37.0,OSM,-1393.0,-156.1,29.9,-206.1,-678.0
Vitol,Damhead Creek,Fossil Fuel,CCGT,No,Natural Gas,,805.0,HV,England,South East,ME39TX,,581973.0,173211.0,2000,963707720.3473188,75806850.0,36669360.0,74043900.0,80672592.0,267686328.0,887900870.3473189,927038360.3473188,889663820.3473189,883035128.3473189,696021392.3473189,262000.0,,,262000.0,,,262000.0,,,262000.0,,,262000.0,,,-1783021.9999999998,,,838459019.9999999,838459019.9999999,838459019.9999999,834368975.9999999,-1910050547.9999995,-1423335311.9999995,6.6,OSM,-1603.4,-210.8,-1.5,-267.1,-798.4
Vitol,Shoreham,Fossil Fuel,CCGT,No,Natural Gas,,420.0,LV,England,South East,BN411WF,,521488.0,105110.0,2000,502804028.0072968,39551400.0,19131840.0,38631600.0,42090048.0,139662432.0,463252628.0072968,483672188.0072968,464172428.0072968,460713980.0072968,363141596.0072968,,,,,,,,,,,,,,,,,,,437456880.0,437456880.0,437456880.0,435322944.0,-996548112.0,-742609728.0,42.0,estimated,-798.0,-71.4,37.8,-100.8,-378.0
Vitol,Blackburn,Fossil Fuel,CCGT,No,Natural Gas,,60.0,LV,England,London,BB25HX,,364659.0,424755.0,2002,71829146.85818526,5650200.0,2733120.0,5518800.0,6012864.0,19951776.0,66178946.85818526,69096026.85818526,66310346.85818526,65816282.85818526,51877370.85818526,,,,,,,,,,,,,,,,,,,62493840.0,62493840.0,62493840.0,62188992.0,-142364016.0,-106087104.0,1.2,OSM,-118.8,-15.0,0.6,-19.2,-58.8
Vitol,VPI,Fossil Fuel,CCGT,Yes,Natural Gas,,1268.0,HV,England,Yorkshire and the Humber,DN403DZ,,518189.0,412390.0,2004,1517989303.6029818,119407560.0,57759936.0,116630640.0,127071859.2,421647532.8,1398581743.6029818,1460229367.6029818,1401358663.6029818,1390917444.4029818,1096341770.802982,,,,,,,,,,,,,,,,,,,1320703152.0,1320703152.0,1320703152.0,1314260697.6,-3008626204.799999,-2241974131.2,43.5,OSM,-2492.5,-298.9,30.8,-387.6,-1224.5
