Name,Location,District/ county,Region,Coordinates,Type,Total capacity (MW),Opened,Closed,Years Operational,Post Closure Land use?,Remediation Type,Contamination level ,Site area,Surrounding land use,Distance to intact habitat,SSSI within 5km,Annual rainfall,Species counts,lat,lon,site_ha,site_ha_source,species_before,species_5yr,species_10yr,species_20yr,species_now
Kingsnorth,Medway,Kent,South East,51°25′08″N 0°36′10″E,Coal,2000.0,1970.0,2012,42.0,Renewable energy site,Full,,,,,,,,51.41888888888889,0.6027777777777777,600.0,estimated,722.0,393.0,962.0,,510.0
Leicester[21],Leicester,Leicestershire,East Midlands,,OCGT,102.0,1976.0,1990,14.0,Redeveloped,Partial,,,,,,,,,,15.3,estimated,,,,,
Little Barford A,Little Barford,Bedfordshire,East,52°12′17″N 0°16′02″W,Coal,120.0,1939.0,1981,42.0,New energy site,Partial,,,,,,,,52.20472222222222,-0.2672222222222222,36.0,estimated,110.0,822.0,717.0,1067.0,769.0
Littlebrook C,Dartford,Kent,South East,51°27′55″N 0°14′30″E,Coal,240.0,1956.0,1981,25.0,Brownfield,Full,,,,,,,,51.46527777777778,0.2416666666666666,72.0,estimated,375.0,813.0,766.0,1310.0,1305.0
Littlebrook D,Dartford,Kent,South East,51°27′55″N 0°14′30″E,Oil,1370.0,1981.0,2015,34.0,Brownfield,Full,,,,,,,,51.46527777777778,0.2416666666666666,137.0,estimated,1054.0,1440.0,1305.0,,1305.0
Lots Road,Lots Road,Chelsea,Greater London,51°28′40″N 0°10′53″W,Coal,1800.0,1905.0,2002,97.0,Redeveloped,Full,,,,,,,,51.47777777777778,-0.1813888888888888,540.0,estimated,904.0,645.0,732.0,2808.0,2876.0
Marchwood A,Marchwood,Hampshire,South East,50°53′54″N 1°26′13″W,oil,480.0,1953.0,1984,31.0,New energy site,Partial,,,,,,,,50.89833333333333,-1.4369444444444444,,estimated,222.0,307.0,558.0,744.0,1162.0
Meaford B,Meaford,Staffordshire,West Midlands,52°55′33″N 2°09′59″W,Coal,240.0,1957.0,1991,34.0,Brownfield,Partial,,,,,,,,52.92583333333333,-2.1663888888888887,72.0,estimated,153.0,121.0,320.0,442.0,762.0
Mexborough,Mexborough,South Yorkshire,Yorkshire and the Humber,53°29′37″N 1°15′49″W,Coal,120.0,1950.0,1981,31.0,Redeveloped,Partial,,,,,,,,53.493611111111115,-1.263611111111111,36.0,estimated,484.0,734.0,357.0,506.0,642.0
North Tees C,Billingham,County Durham,North East,54°35′13″N 1°15′47″W,Coal,120.0,1949.0,1983,34.0,Brownfield,Partial,,,,,,,,54.58694444444445,-1.2630555555555556,36.0,estimated,113.0,128.0,549.0,372.0,1203.0
Northfleet[6],Gravesham,Kent,South East,,Coal,720.0,1963.0,1991,28.0,Redeveloped,Partial,,,,,,,,,,216.0,estimated,,,,,
