Name,Location,District/ county,Region,Coordinates,Type,Total capacity (MW),Opened,Closed,Years Operational,Post Closure Land use?,Remediation Type,Contamination level ,Site area,Surrounding land use,Distance to intact habitat,SSSI within 5km,Annual rainfall,Species counts,lat,lon,site_ha,site_ha_source
Hinkley Point B,Hinkley Point,Somerset,South West,51°12′33″N 3°07′39″W,Nuclear (AGR),1220.0,1976.0,2022,46.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.20916666666667,-3.1275,,estimated
Huddersfield[11],Huddersfield,West Yorkshire,North East,53°39′09″N 1°46′26″W,Coal,94.0,1893.0,1981,88.0,Redeveloped,Partial,,,,,,,,53.652499999999996,-1.7738888888888888,28.2,estimated
Huncoat,Accrington,Lancashire,North West,53°46′34″N 2°20′16″W,Coal,150.0,1956.0,1984,28.0,Brownfield,Partial,,,,,,,,53.77611111111111,-2.3377777777777777,45.0,estimated
Ince B,Ellesmere Port,Cheshire,North West,,Oil,1050.0,1984.0,1997,13.0,Redeveloped,Partial,,,,,,,,,,105.0,estimated
Ironbridge A,Ironbridge,Shropshire,West Midlands,52°37′48″N 2°30′43″W,Coal,200.0,1932.0,1981,49.0,Passive rewilding,Passive rewilding,,,,,,,,52.63,-2.5119444444444445,60.0,estimated
Ironbridge B,Ironbridge,Shropshire,West Midlands,52°37′48″N 2°30′43″W,Coal,1000.0,1969.0,2015,46.0,Remediation then redevelopment,Partial,,,,,,,,52.63,-2.5119444444444445,300.0,estimated
Keadby Coal,Scunthorpe,North Lincolnshire,Yorkshire and the Humber,53°35′40″N 0°45′02″W,Coal,360.0,1952.0,1984,32.0,New energy site,Partial,,,,,,,,53.59444444444445,-0.7505555555555555,108.0,estimated
Kingsnorth,Medway,Kent,South East,51°25′08″N 0°36′10″E,Coal,2000.0,1970.0,2012,42.0,Renewable energy site,Full,,,,,,,,51.41888888888889,0.6027777777777777,600.0,estimated
Leicester[21],Leicester,Leicestershire,East Midlands,,OCGT,102.0,1976.0,1990,14.0,Redeveloped,Partial,,,,,,,,,,15.3,estimated
Little Barford A,Little Barford,Bedfordshire,East,52°12′17″N 0°16′02″W,Coal,120.0,1939.0,1981,42.0,New energy site,Partial,,,,,,,,52.20472222222222,-0.2672222222222222,36.0,estimated
Littlebrook C,Dartford,Kent,South East,51°27′55″N 0°14′30″E,Coal,240.0,1956.0,1981,25.0,Brownfield,Full,,,,,,,,51.46527777777778,0.24166666666666667,72.0,estimated
Littlebrook D,Dartford,Kent,South East,51°27′55″N 0°14′30″E,Oil,1370.0,1981.0,2015,34.0,Brownfield,Full,,,,,,,,51.46527777777778,0.24166666666666667,137.0,estimated
Lots Road,Lots Road,Chelsea,Greater London,51°28′40″N 0°10′53″W,Coal,1800.0,1905.0,2002,97.0,Redeveloped,Full,,,,,,,,51.47777777777778,-0.18138888888888888,540.0,estimated
Marchwood A,Marchwood,Hampshire,South East,50°53′54″N 1°26′13″W,oil,480.0,1953.0,1984,31.0,New energy site,Partial,,,,,,,,50.89833333333333,-1.4369444444444444,,estimated
Meaford B,Meaford,Staffordshire,West Midlands,52°55′33″N 2°09′59″W,Coal,240.0,1957.0,1991,34.0,Brownfield,Partial,,,,,,,,52.92583333333333,-2.1663888888888887,72.0,estimated
Mexborough,Mexborough,South Yorkshire,Yorkshire and the Humber,53°29′37″N 1°15′49″W,Coal,120.0,1950.0,1981,31.0,Redeveloped,Partial,,,,,,,,53.493611111111115,-1.263611111111111,36.0,estimated
North Tees C,Billingham,County Durham,North East,54°35′13″N 1°15′47″W,Coal,120.0,1949.0,1983,34.0,Brownfield,Partial,,,,,,,,54.58694444444445,-1.2630555555555556,36.0,estimated
Northfleet[6],Gravesham,Kent,South East,,Coal,720.0,1963.0,1991,28.0,Redeveloped,Partial,,,,,,,,,,216.0,estimated
Norwich[6],Norwich,Norfolk,East,52°37′15″N 1°19′06″E,Oil (gas turbine),110.0,1966.0,1986,20.0,Clean energy site,Partial,,,,,,,,52.62083333333334,1.3183333333333334,,estimated
Nottingham[21],Nottingham,Nottinghamshire,East Midlands,52°55′55″N 1°10′01″W,Coal,148.0,1925.0,1981,56.0,Brownfield,Partial,,,,,,,,52.93194444444444,-1.1669444444444446,44.4,estimated
Oldbury nuclear power station,Oldbury,South Gloucestershire,South West,51°38′56″N 2°34′15″W,Nuclear (magnox),470.0,1967.0,2012,45.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.64888888888889,-2.5708333333333333,70.5,estimated
Padiham B,Padiham,Lancashire,North West,53°47′44″N 2°19′39″W,Coal,240.0,1957.0,1993,36.0,Remediation then rewilding,Partial,,,,,,,,53.79555555555555,-2.3274999999999997,72.0,estimated
Portishead B,Portishead,Somerset,South West,51°29′28″N 2°45′18″W,Oil,298.0,1955.0,1982,27.0,Redeveloped,Full,,,,,,,,51.49111111111111,-2.755,29.8,estimated
Portrack,Billingham,County Durham,North East,54°34′16″N 1°16′00″W,Waste,20.0,1977.0,1996,19.0,Redeveloped,Partial,,,,,,,,54.571111111111115,-1.2666666666666666,,estimated
