Name,Location,District/ county,Region,Coordinates,Type,Total capacity (MW),Opened,Closed,Years Operational,Post Closure Land use?,Remediation Type,Contamination level ,Site area,Surrounding land use,Distance to intact habitat,SSSI within 5km,Annual rainfall,Species counts,lat,lon,site_ha,site_ha_source,dist_any_intact_closure_km,dist_1ha_patch_closure_km,dist_5ha_patch_closure_km,dist_freshwater_closure_km,dist_saltwater_closure_km,dist_any_intact_now_km,dist_1ha_patch_now_km,dist_5ha_patch_now_km,dist_freshwater_now_km,dist_saltwater_now_km,lcm_year_used,dist_any_intact_closure_km,dist_1ha_patch_closure_km,dist_5ha_patch_closure_km,dist_freshwater_closure_km,dist_saltwater_closure_km,dist_any_intact_now_km,dist_1ha_patch_now_km,dist_5ha_patch_now_km,dist_freshwater_now_km,dist_saltwater_now_km,lcm_year_used
Earley[21],Earley,Berkshire,South East,,Diesel-fired gas turbine,111.0,1965.0,1982,17.0,Redeveloped,Partial,,,,,,,,,,,estimated,,,,,,,,,,,1990.0,,,,,,,,,,,1990.0
East Yelland,Yelland,Devon,South West,,Coal,170.0,1955.0,1984,29.0,Brownfield,Partial,,,,,,,,,,51.0,estimated,,,,,,,,,,,1990.0,,,,,,,,,,,1990.0
Eggborough,Eggborough,North Yorkshire,Yorkshire and the Humber,53°42′42″N 1°07′37″W,Coal,1960.0,1967.0,2018,51.0,Remediation,Partial,,,,,,,,53.711666666666666,-1.1269444444444443,588.0,estimated,0.28,0.28,0.28,0.407,12.564,0.261,0.27,0.416,0.378,,2019.0,0.28,0.28,0.28,0.407,12.564,0.261,0.27,0.416,0.378,,2019.0
Elland,Elland,West Yorkshire,Yorkshire and the Humber,53°41′40″N 1°49′22″W,Coal,180.0,1959.0,1991,32.0,Redeveloped,Partial,,,,,,,,53.69444444444444,-1.8227777777777776,54.0,estimated,0.1,0.1,0.1,0.302,,0.224,0.224,0.224,0.224,,1990.0,0.1,0.1,0.1,0.302,,0.224,0.224,0.224,0.224,,1990.0
Fawley,Fawley,Hampshire,South East,50°49′00″N 1°19′44″W,Oil,968.0,1971.0,2013,42.0,Brownfield,Full,,,,,,,,50.81666666666667,-1.3288888888888888,96.8,estimated,0.141,0.141,0.141,1.532,0.772,0.301,0.301,0.336,1.532,0.866,2015.0,0.141,0.141,0.141,1.532,0.772,0.301,0.301,0.336,1.532,0.866,2015.0
Ferrybridge B,Ferrybridge,West Yorkshire,Yorkshire and the Humber,53°43′03″N 1°16′50″W,Coal,300.0,1959.0,1992,33.0,Brownfield,Full,,,,,,,,53.7175,-1.2805555555555554,90.0,estimated,0.1,0.285,0.673,0.285,,0.673,0.673,0.673,0.673,,1990.0,0.1,0.285,0.673,0.285,,0.673,0.673,0.673,0.673,,1990.0
Ferrybridge C,Ferrybridge,West Yorkshire,Yorkshire and the Humber,53°43′03″N 1°16′50″W,Coal,2000.0,1966.0,2016,50.0,Brownfield,Full,,,,,,,,53.7175,-1.2805555555555554,600.0,estimated,0.285,0.285,0.673,0.285,,0.673,0.673,0.673,0.673,,2015.0,0.285,0.285,0.673,0.285,,0.673,0.673,0.673,0.673,,2015.0
Fiddlers Ferry,Widnes – Warrington,Cheshire,North West,53°22′19″N 2°41′13″W,Coal,1989.0,1971.0,2020,49.0,Remediation then redevelopment,Partial,,,,,,,,53.371944444444445,-2.686944444444445,596.7,estimated,0.276,0.302,0.302,1.18,,0.28,0.28,0.28,0.403,,2019.0,0.276,0.302,0.302,1.18,,0.28,0.28,0.28,0.403,,2019.0
Goldington,Bedford,Bedfordshire,East,52°08′15″N 0°25′39″W,Coal,180.0,1954.0,1983,29.0,Redeveloped,Partial,,,,,,,,52.1375,-0.4275,54.0,estimated,0.325,0.326,0.326,0.325,,0.325,0.335,0.335,0.325,,1990.0,0.325,0.326,0.326,0.325,,0.325,0.335,0.335,0.325,,1990.0
Grain Oil,Grain,Kent,South East,51°26′43″N 0°42′54″E,Oil,1300.0,1979.0,2012,33.0,New energy site,Partial,,,,,,,,51.445277777777775,0.715,130.0,estimated,0.212,0.212,0.212,0.673,0.515,0.515,0.515,0.515,0.673,0.515,2015.0,0.212,0.212,0.212,0.673,0.515,0.515,0.515,0.515,0.673,0.515,2015.0
Great Yarmouth B,Great Yarmouth,Norfolk,East,52°35′02″N 1°44′00″E,Oil,252.0,1958.0,1994,36.0,New energy site,Partial,,,,,,,,52.58388888888889,1.7333333333333334,25.2,estimated,0.158,0.158,0.158,1.573,0.46,0.182,0.182,0.182,5.154,0.602,1990.0,0.158,0.158,0.158,1.573,0.46,0.182,0.182,0.182,5.154,0.602,1990.0
Hams Hall B,Birmingham,Warwickshire,West Midlands,52°31′29″N 1°42′19″W,Coal,306.0,1942.0,1981,39.0,Remediation then redevelopment,Full,,,,,,,,52.52472222222222,-1.7052777777777777,91.8,estimated,0.0,0.0,0.576,0.0,,0.246,0.47,0.47,0.637,,1990.0,0.0,0.0,0.576,0.0,,0.246,0.47,0.47,0.637,,1990.0
Hams Hall C,Birmingham,Warwickshire,West Midlands,52°31′29″N 1°42′19″W,Coal,357.0,1958.0,1992,34.0,Remediation then rewilding,Full,,,,,,,,52.52472222222222,-1.7052777777777777,107.1,estimated,0.0,0.0,0.576,0.0,,0.246,0.47,0.47,0.637,,1990.0,0.0,0.0,0.576,0.0,,0.246,0.47,0.47,0.637,,1990.0
