Table 5.11 List of major power producer power stations in the United Kingdom operational at the end of May 2024 [note 1],,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet, to turn off freeze panes select the 'view' then 'freeze panes' then 'unfreeze panes' or use [Alt W, F]   ",,,,,,,,,,,,,,,
"This table contains empty cells, empty cells indicate data not applicable",,,,,,,,,,,,,,,
Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel, InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned
Anesco,Woodtown,Solar,PV,No,Solar,,  2.7 ,LV,England,South West,BH228SW,,409156.0,97807.0,2015
Anesco,Bake Farm,Solar,PV,No,Solar,,  5.0 ,LV,Scotland,Scotland,,NO564429,233036.0,58842.0,2015
Anesco,Salford Lodge Solar Farm,Solar,PV,No,Solar,,  5.0 ,LV,England,West Midlands,WR118SN,,,,2015
Anesco,Bourne Park 2,Solar,PV,No,Solar,,  2.4 ,LV,England,South West,DT27TU,,372234.0,97408.0,2015
Anesco,Radford,Solar,PV,No,Solar,,  5.0 ,LV,England,West Midlands,CV311XJ,,435175.0,261988.0,2015
Anesco,Coleford Pingry Solar Farm,Solar,PV,No,Solar,,  3.4 ,LV,England,South West,GL168QD,,,,2016
Anesco,Milkwall Solar Farm,Solar,PV,No,Solar,,  3.5 ,LV,England,South West,GL168QD,,,,2016
Anesco,Sheepbridge,Solar,PV,No,Solar,,  5.0 ,LV,England,South East,RG71PX,,,,2016
Anesco,Lindridge,Solar,PV,No,Solar,,  4.9 ,LV,England,East Midlands,LE99FD,,,,2016
Anesco,Lee Moor,Solar,PV,No,Solar,,  5.0 ,LV,England,South West,PL75JP,,256033.0,60850.0,2016
Anesco,Oakham,Solar,PV,No,Solar,,  4.6 ,LV,England,South West,BS324BS,,359684.0,183393.0,2016
Anesco,The Beeches,Solar,PV,No,Solar,,  5.0 ,LV,England,West Midlands,CV379RG,,414445.0,254098.0,2016
Anesco,East Appleton,Solar,PV,No,Solar,,  5.0 ,LV,England,Yorkshire and the Humber,DL107QE,,423660.0,495768.0,2016
Anesco,Fell View ,Solar,PV,No,Solar,,  4.3 ,LV,England,North West,PR25SD,,358322.0,433776.0,2016
Anesco,Grimsargh ,Solar,PV,No,Solar,,  2.9 ,LV,England,North West,PR25SD,,358322.0,433776.0,2016
Anesco,Sheep Shed ,Solar,PV,No,Solar,,  5.0 ,LV,England,West Midlands,CV379RG,,415469.0,255805.0,2016
Anesco,Stripe,Solar,PV,No,Solar,,  5.0 ,LV,England,Yorkshire and the Humber,DL107PW,,419640.0,502487.0,2016
Anesco,The Rushes ,Solar,PV,No,Solar,,  5.0 ,LV,England,West Midlands,CV379RG,,416507.0,255215.0,2016
Anesco,Wymeswold ,Solar,PV,No,Solar,,  2.1 ,LV,England,East Midlands,LE126UA,,460007.0,323259.0,2016
Anesco,Kinblethmont,Solar,PV,No,Solar,,  5.0 ,LV,Scotland,Scotland,,ST576232,363182.0,746857.0,2016
Anesco,Oxcroft,Solar,PV,No,Solar,,  4.2 ,LV,England,East Midlands,S446AG,,446492.0,374323.0,2016
Anesco,Berry Court,Solar,PV,No,Solar,,  3.9 ,LV,England,South East,RG265AT,,461938.0,159221.0,2016
