Name,Closed,Location,District/ county,Region,lat,lon,Type,Total capacity (MW),Opened,Years Operational,Post Closure Land use?,Remediation Type,Site Area (ha),Waste Type,annual_rainfall_mm,ash_lagoon_ha_final,species_before,species_5yr,species_10yr,species_20yr,species_now,contamination_index,contamination_level,soil_ph,soil_pb_mgkg,soil_as_mgkg,dist_any_intact_closure_km,dist_1ha_patch_closure_km,dist_5ha_patch_closure_km,dist_freshwater_closure_km,dist_saltwater_closure_km,dist_any_intact_now_km,dist_1ha_patch_now_km,dist_5ha_patch_now_km,dist_freshwater_now_km,dist_saltwater_now_km
Huncoat,1984,Accrington,Lancashire,North West,53.77611111,-2.337777778,Coal,150,1956,28,Brownfield,Partial,45,Very High Hazard,1161.4,69.3,208,358,423,841,550,0.143,Low,5.1,91,0,0.079,0.079,0.079,1.545,,0.202,0.202,0.202,1.545,
Ince B,1997,Ellesmere Port,Cheshire,North West,,,Oil,1050,1984,13,Redeveloped,Partial,105,High Hazard,,,,,,,,,,,,,,,,,,,,,,
Ironbridge A,1981,Ironbridge,Shropshire,West Midlands,52.63,-2.511944444,Coal,200,1932,49,Passive rewilding,Passive rewilding,60,Very High Hazard,729.8,30,376,745,443,833,1369,0.136,Low,3.8,109,0,0.071,0.071,0.071,0.103,,0.071,0.071,0.071,0.493,
Ironbridge B,2015,Ironbridge,Shropshire,West Midlands,52.63,-2.511944444,Coal,1000,1969,46,Remediation then redevelopment,Partial,300,Very High Hazard,707.7,150,2253,1739,1369,,1369,0.136,Low,3.8,109,0,0.056,0.056,0.056,0.103,,0.071,0.071,0.071,0.493,
Keadby Coal,1984,Scunthorpe,North Lincolnshire,Yorkshire and the Humber,53.59444444,-0.7505555556,Coal,360,1952,32,New energy site,Partial,108,Very High Hazard,682.2,72.6,18,151,48,88,77,0.196,Low,8,111,4.4,0.079,0.079,0.079,0.316,0.727,0.075,0.075,0.075,0.125,0.727
Kingsnorth,2012,Medway,Kent,South East,51.41888889,0.6027777778,Coal,2000,1970,42,Renewable energy site,Full,600,Very High Hazard,581.9,300,722,393,962,,510,0.117,Low,8,38,0,0.15,0.15,0.16,0.91,0.358,0.236,0.236,0.236,0.236,0.416
Leicester[21],1990,Leicester,Leicestershire,East Midlands,,,OCGT,102,1976,14,Redeveloped,Partial,15.3,Low Hazard,,,,,,,,,,,,,,,,,,,,,,
Little Barford A,1981,Little Barford,Bedfordshire,East,52.20472222,-0.2672222222,Coal,120,1939,42,New energy site,Partial,36,Very High Hazard,626,18,110,822,717,1067,769,0.124,Low,8.1,16,0,0.329,0.329,0.358,0.358,,0.236,0.236,0.358,0.358,
Littlebrook C,1981,Dartford,Kent,South East,51.46527778,0.2416666667,Coal,240,1956,25,Brownfield,Full,72,Very High Hazard,617,167.2,375,813,766,1310,1305,0.096,Low,7.5,59,0,0.23,0.23,0.23,0.34,0.285,0.23,0.23,0.23,0.318,0.285
Littlebrook D,2015,Dartford,Kent,South East,51.46527778,0.2416666667,Oil,1370,1981,34,Brownfield,Full,137,High Hazard,614.3,,1054,1440,1305,,1305,0.096,Low,7.5,59,0,0.285,0.285,0.285,0.285,5.736,0.23,0.23,0.23,0.318,0.285
Lots Road,2002,Lots Road,Chelsea,Greater London,51.47777778,-0.1813888889,Coal,1800,1905,97,Redeveloped,Full,540,Very High Hazard,659,270,904,645,732,2808,2876,0.378,Low,5.8,807,0,0.025,0.025,0.025,0.15,1.478,0.152,0.152,0.152,0.152,
Marchwood A,1984,Marchwood,Hampshire,South East,50.89833333,-1.436944444,oil,480,1953,31,New energy site,Partial,48,High Hazard,747.6,,222,307,558,744,1162,0.047,Low,7,31,0,0.158,0.158,0.158,0.158,0.19,0.19,0.19,0.19,0.215,0.19
Meaford B,1991,Meaford,Staffordshire,West Midlands,52.92583333,-2.166388889,Coal,240,1957,34,Brownfield,Partial,72,Very High Hazard,748.9,36,153,121,320,442,762,0.057,Low,5.8,36,0,0.18,0.18,0.285,2.706,,0.18,0.18,0.18,0.902,
Mexborough,1981,Mexborough,South Yorkshire,Yorkshire and the Humber,53.49361111,-1.263611111,Coal,120,1950,31,Redeveloped,Partial,36,Very High Hazard,747.3,18,484,734,357,506,642,0.102,Low,3.7,71,0,0.125,0.125,0.125,0.125,,0.135,0.135,0.135,0.15,
North Tees C,1983,Billingham,County Durham,North East,54.58694444,-1.263055556,Coal,120,1949,34,Brownfield,Partial,36,Very High Hazard,714.7,154.2,113,128,549,372,1203,0.081,Low,7.6,31,1.6,0.261,0.261,0.261,1.295,0.261,0.261,0.261,0.261,1.295,0.261
Northfleet[6],1991,Gravesham,Kent,South East,,,Coal,720,1963,28,Redeveloped,Partial,216,Very High Hazard,,108,,,,,,,,,,,,,,,,,,,,
Norwich[6],1986,Norwich,Norfolk,East,52.62083333,1.318333333,Oil (gas turbine),110,1966,20,Clean energy site,Partial,11,High Hazard,628.5,,538,995,793,1366,2021,0.085,Low,6.9,68,0,0.05,0.05,0.05,2.816,,0.05,0.05,0.05,0.292,
Nottingham[21],1981,Nottingham,Nottinghamshire,East Midlands,52.93194444,-1.166944444,Coal,148,1925,56,Brownfield,Partial,44.4,Very High Hazard,686.1,22.2,124,122,123,249,1947,0.087,Low,6.7,53,0,0.325,0.325,0.325,0.358,,0.275,0.275,0.275,0.358,
Oldbury nuclear power station,2012,Oldbury,South Gloucestershire,South West,51.64888889,-2.570833333,Nuclear (magnox),470,1967,45,"Decomissioning, restricted site",Partial (nuclear),70.5,Extreme Hazard,704.5,,536,501,616,,307,0.146,Low,6,66,0,0.125,0.125,0.125,0.553,0.226,0.182,0.182,0.182,0.633,0.226
Padiham B,1993,Padiham,Lancashire,North West,53.79555556,-2.3275,Coal,240,1957,36,Remediation then rewilding,Partial,72,Very High Hazard,1120.6,69.3,363,777,716,458,587,0.149,Low,4.7,130,0,0.125,0.125,0.255,0.255,,0.135,0.135,0.388,0.276,
Portishead B,1982,Portishead,Somerset,South West,51.49111111,-2.755,Oil,298,1955,27,Redeveloped,Full,29.8,High Hazard,786.2,,503,1020,1203,1853,808,0.133,Low,4.2,89,0,0.075,0.075,0.075,3.034,0.195,0.075,0.075,0.075,0.637,2.677
Portrack,1996,Billingham,County Durham,North East,54.57111111,-1.266666667,Waste,20,1977,19,Redeveloped,Partial,6,Medium Hazard,663.8,,582,542,578,602,1040,0.081,Low,7.6,31,1.6,0.025,0.025,0.025,0.202,0.7,0,0,0,0.202,0.316
Ratcliffe-on-Soar,2024,Ratcliffe-on-Soar,Nottinghamshire,East Midlands,52.86527778,-1.255,Coal,2021,1968,56,Brownfield,Full,606.3,Very High Hazard,751.9,26.8,1518,,,,1397,0.064,Low,6.2,26,0,0.237,0.237,0.237,0.237,,0.237,0.237,0.237,0.237,
Richborough,1996,Richborough,Kent,South East,51.31,1.348611111,Coal+oil,360,1962,34,New energy site,Partial,108,Very High Hazard,609.8,54,692,1063,990,1376,1769,0.069,Low,5.4,25,0,0.035,0.035,0.035,0.443,0.765,0.025,0.025,0.025,1.393,0.361
Roosecote A,1986,Roosecote,Cumbria,North West,54.105,-3.187777778,Coal,120,1954,32,Clean energy site,Partial,36,Very High Hazard,1515.1,18,183,257,360,228,549,0.162,Low,4.8,59,0,0.025,0.025,0.025,0.682,0.443,0.127,0.127,0.127,0.682,1.7
Roosecote B,2012,Roosecote,Cumbria,North West,54.105,-3.187777778,CCGT,229,1991,21,Clean energy site,Partial,17.2,Low Hazard,1559.2,,187,360,606,,549,0.162,Low,4.8,59,0,0,0,0,0.682,2.483,0.127,0.127,0.127,0.682,1.7
Rugeley A,1995,Rugeley,Staffordshire,West Midlands,52.75694444,-1.916388889,Coal,600,1963,32,Remediation then clean redevelopment,Full,180,Very High Hazard,730.2,90,757,1108,1244,466,585,0.086,Low,6.7,45,0,0.09,0.09,0.09,0.09,,0.27,0.581,1.443,0.571,
Rugeley B,2016,Rugeley,Staffordshire,West Midlands,52.75694444,-1.916388889,Coal,1006,1970,46,Remediation then redevelopment,Full,301.8,Very High Hazard,752.9,150.9,466,602,,,585,0.086,Low,6.7,45,0,0.492,0.492,0.492,0.621,,0.27,0.581,1.443,0.571,
Rye House A,1982,Hoddesdon,Hertfordshire,East,51.7625,0.01083333333,Coal,120,1953,29,New energy site,Partial,37,Very High Hazard,644.7,18,281,420,587,787,1071,0.087,Low,4.9,35,0,0.025,0.025,0.025,0.25,,0.135,0.135,0.135,0.135,
Sizewell A,2006,Sizewell,Suffolk,East,52.215,1.619722222,Nuclear (magnox),650,1966,40,"Decomissioning, restricted site",Partial (nuclear),97.5,Extreme Hazard,635.8,,3305,1932,2199,,1737,0.039,Low,7,13,0,0.15,0.15,0.15,6.289,,0.175,0.175,0.175,3.222,6.946
Skelton Grange A,1983,Leeds,West Yorkshire,Yorkshire and the Humber,,,Coal,360,1948,35,Clean energy site,Partial,108,Very High Hazard,,54,,,,,,,,,,,,,,,,,,,,
Skelton Grange B,1994,Leeds,West Yorkshire,Yorkshire and the Humber,,,Coal,448,1960,34,Clean energy site,Partial,134.4,Very High Hazard,,67.2,,,,,,,,,,,,,,,,,,,,
Spondon[38][39][11],1982,Spondon,Derbyshire,East Midlands,52.90638889,-1.400833333,Coal,18,1920,62,Partially Demolished,Partial,5.4,Very High Hazard,735.7,2.7,365,516,316,403,666,0.109,Low,5.3,66,0,0.18,0.18,0.28,0.478,,0.18,0.18,0.577,0.18,
Staythorpe A,1983,Southwell,Nottinghamshire,East Midlands,53.07472222,-0.8558333333,Coal,112,1950,33,New energy site,Partial,19.4,Very High Hazard,666.5,16.8,32,49,49,299,823,0.096,Low,4.4,42,0,0.224,0.224,0.224,0.224,,0.2,0.2,0.224,0.224,
Staythorpe B,1994,Southwell,Nottinghamshire,East Midlands,53.07472222,-0.8558333333,Coal,354,1962,32,New energy site,Partial,106.2,Very High Hazard,624,53.1,49,290,227,236,823,0.096,Low,4.4,42,0,0.224,0.224,0.224,0.224,,0.2,0.2,0.224,0.224,
Stella North,1991,Lemington,Tyne and Wear,North East,54.97416667,-1.725833333,Coal,240,1954,37,Redeveloped,Partial,72,Very High Hazard,711.4,33.5,295,176,456,1012,1073,0.173,Low,5.1,151,3.6,0,0,0,1.68,0,0,0,0,1.68,0
Stella South,1991,Blaydon,Tyne and Wear,North East,54.97416667,-1.725833333,Coal,300,1954,37,Redeveloped,Partial,90,Very High Hazard,711.4,33.5,295,176,456,1012,1073,0.173,Low,5.1,151,3.6,0,0,0,1.68,0,0,0,0,1.68,0
Stourport B[21],1984,Stourport,Worcestershire,West Midlands,,,Coal,112,1950,34,Redeveloped,Partial,33.6,Very High Hazard,,16.8,,,,,,,,,,,,,,,,,,,,
Teesside,2013,Wilton,Redcar and Cleveland,North East,54.57694444,-1.120555556,CCGT,1875,1993,20,Brownfield,Partial,140.6,Low Hazard,733.5,,1016,422,828,,705,0.133,Low,6.6,55,2.8,0.313,0.313,0.313,1.003,2.991,0.313,0.313,0.313,1.003,2.991
Thornhill[11],1982,Dewsbury,West Yorkshire,North East,53.67722222,-1.654722222,Coal,186,1902,80,New energy site,Partial,55.8,Very High Hazard,883.9,27.9,32,25,13,411,519,0.132,Low,6.9,119,0,0.025,0.025,0.025,0.05,,0.05,0.05,0.05,0.05,
Thorpe Marsh,1994,Doncaster,South Yorkshire,Yorkshire and the Humber,53.58055556,-1.085277778,Coal,1100,1963,31,Remediation,Partial,330,Very High Hazard,633.3,165,293,475,659,751,224,0.069,Low,6.8,30,0,0.15,0.15,0.15,0.202,0.236,0.177,0.275,0.348,0.177,
Tilbury A,1981,Tilbury,"Thurrock, Essex",East,51.455,0.3916666667,Oil,360,1956,25,Clean energy site,Partial,36,High Hazard,600.6,,345,400,644,1041,963,0.098,Low,7.9,42,0,0.202,0.202,0.202,0.202,0.28,0.177,0.177,0.177,0.28,0.326
